Başlık,Marka,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Cihaz Ağırlığı,Kullanım Amacı,Şarjlı Kullanım Süresi,İşletim Sistemi,Renk,Çekilme Zamanı,Fiyat (TRY),Link
"Excalibur G770 i7-12700H 32GB 1TB 4GB RTX3050 95W 15.6"" Freedos Gaming Laptop G770.1270-DFJ0X-B",CASPER,Intel Core i7,12700H,12. Nesil,14,2.3,4.7,32 GB,DDR4,64 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 3050,Harici,4 GB ve altı,GDDR6,70W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:07:44,43.900 TL,https://www.trendyol.com/casper/excalibur-g770-i7-12700h-32gb-1tb-4gb-rtx3050-95w-15-6-freedos-gaming-laptop-g770-1270-dfj0x-b-p-311975792?boutiqueId=61&merchantId=141868
"Ideapad1 Intel Celeron-N4020 4GB 128GB DOS 15.6"" Gri Laptop 82V700A8TX",LENOVO,Intel Celeron,N4020,Belirtilmemiş,2,1.1,2.8,4 GB,DDR4,8 GB,128 GB,HDD Yok,"15,6 inç",1366 x 768,HD Ready (HD),Belirtilmemiş,TN,Intel UHD Graphics 600,Dahili,Paylaşımlı,Belirtilmemiş,,2 - 4 kg,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:07:45,10.399 TL,https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4020-4gb-128gb-dos-15-6-gri-laptop-82v700a8tx-p-773962718?boutiqueId=61&merchantId=557390
"Ideapad Slim 3 15Ian8 Intel N100 4GB RAM 128Gb SSD Intel UHD Graphics 15.6"" FHD W11 Gri Noteb",LENOVO,Intel Celeron,Alder Lake-N N100,Belirtilmemiş,4,3,3.4,4 GB,LPDDR5,,128 GB,128 GB,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Windows,Gri,2025-12-02 06:07:47,9.029 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-15ian8-intel-n100-4gb-ram-128gb-ssd-intel-uhd-graphics-15-6-fhd-w11-gri-noteb-p-880174765?boutiqueId=61&merchantId=853006
"Ideapad 3 İntel Core i3-1215U 16GB 512GB SSD W11P 15.6"" Full Hd CSR22 ÇANTA Hediyeli",LENOVO,Intel Core i3,1215U,12. Nesil,4,1.7,4.4,16 GB,DDR4,16 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Metalik Gri; Metalik,2025-12-02 06:07:48,20.599 TL,https://www.trendyol.com/lenovo/ideapad-3-intel-core-i3-1215u-16gb-512gb-ssd-w11p-15-6-full-hd-csr22-canta-hediyeli-p-781482518?boutiqueId=61&merchantId=1080756
"Ideapad 1 15alc7 Amd Ryzen 5 5625U 16gb 512gb Ssd 15.6"" Win11 Taşınabilir Bilgisayar",LENOVO,AMD Ryzen 5,5500U,Belirtilmemiş,6,2,4.0,16 GB,DDR4,16 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Gri,2025-12-02 06:07:49,22.399 TL,https://www.trendyol.com/lenovo/ideapad-1-15alc7-amd-ryzen-5-5625u-16gb-512gb-ssd-15-6-win11-tasinabilir-bilgisayar-p-817478034?boutiqueId=61&merchantId=557390
"13"" MacBook Air:  M2 chip with 8-core CPU and 8-core GPU, 16GB, 256GB - Gece Yarısı",Apple,Apple M2,Belirtilmemiş,2. Nesil,8,3.3,2.5,16 GB,Birleşik Bellek,,256 GB,HDD Yok,"13,6 inç",2560 x 1600,Ultra HD 4K (UHD),120 Hz,IPS,M2 8 Çekirdekli,Dahili,8 GB,Dahili,,2 kg ve altı,Ofis - İş,,Mac Os,Gece Yarısı; Gri,2025-12-02 06:07:51,37.499 TL,https://www.trendyol.com/apple/13-macbook-air-apple-m2-chip-with-8-core-cpu-and-8-core-gpu-16gb-256gb-gece-yarisi-p-871069136?boutiqueId=61&merchantId=113750
"Macbook Air 13.6"" M2 8c Gpu 8 Gb 256 Gb Ssd Yıldız Işığı",Apple,Apple M2,Belirtilmemiş,2. Nesil,8,3.3,,,Birleşik Bellek,8 GB,,HDD Yok,"13,6 inç",2560 x 1600,Ultra HD 4K (UHD),120 Hz,,M2 8 Çekirdekli,Dahili,8 GB,Dahili,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Mac Os,Sarı,2025-12-02 06:07:52,41.350 TL,https://www.trendyol.com/apple/macbook-air-13-6-m2-8c-gpu-8-gb-256-gb-ssd-yildiz-isigi-p-334546082?boutiqueId=61&merchantId=621599
"13"" MacBook Air:  M2 chip with 8-core CPU and 8-core GPU, 16GB, 256GB - Yıldız Işığı",Apple,Apple M2,Belirtilmemiş,2. Nesil,8,3.3,,16 GB,Birleşik Bellek,,256 GB,HDD Yok,"13,6 inç",2560 x 1600,Ultra HD 4K (UHD),120 Hz,,M2 8 Çekirdekli,Dahili,8 GB,Dahili,,2 kg ve altı,Ofis - İş,,Mac Os,Yıldız Işığı; Gri,2025-12-02 06:07:53,37.499 TL,https://www.trendyol.com/apple/13-macbook-air-apple-m2-chip-with-8-core-cpu-and-8-core-gpu-16gb-256gb-yildiz-isigi-p-871069139?boutiqueId=61&merchantId=113750
"IdeaPad Slim 3 Intel Celeron N100 4GB 128GB Intel UHD Graphics 15.6"" FHD W11 Notebook 82XB009GTX",LENOVO,Intel Celeron,Alder Lake-N N100,Belirtilmemiş,4,3,3.4,4 GB,LPDDR5,,SSD Yok,128 GB,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Windows,Gri,2025-12-02 06:07:54,8.379 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-celeron-n100-4gb-128gb-intel-uhd-graphics-15-6-fhd-w11-notebook-82xb009gtx-p-941342405?boutiqueId=61&merchantId=1095219
"Vivobook 15 Intel Core 5 120u 16gb 1tb Ssd W11p 15.6"" Fhd Bilgisayar",ASUS,Intel Core i5,1235U,12. Nesil,10,3.3,4.4,16 GB,DDR4,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,LACİVERT; Lacivert,2025-12-02 06:07:55,29.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-5-120u-16gb-1tb-ssd-w11p-15-6-fhd-bilgisayar-p-795953654?boutiqueId=61&merchantId=880551
