Başlık,Marka,İşlemci Tipi,İşlemci Modeli,İşlemci Nesli,İşlemci Çekirdek Sayısı,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Arttırılabilir Azami Bellek,SSD Kapasitesi,Hard Disk Kapasitesi,Ekran Boyutu,Çözünürlük,Çözünürlük Standartı,Ekran Yenileme Hızı,Panel Tipi,Ekran Kartı,Ekran Kartı Tipi,Ekran Kartı Hafızası,Ekran Kartı Bellek Tipi,Ekran Kartı Gücü,Cihaz Ağırlığı,Kullanım Amacı,Şarjlı Kullanım Süresi,İşletim Sistemi,Renk,Çekilme Zamanı,Fiyat (TRY),Link
"ExpertBook P1 P1403CVA-I716512G0D011 i7-13620H 32GB 1TBSSD 14"" FHD W11P Dizüstü Bilgisayar-CNT0",ASUS,Intel Core i7,13620H,13. Nesil,10,1.8,4.9,32 GB,DDR5,64 GB,1 TB,HDD Yok,14 inç,1920 x 1080,Full HD (FHD),60 Hz,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,Gri,2025-12-02 06:18:08,47.899 TL,https://www.trendyol.com/asus/expertbook-p1-p1403cva-i716512g0d011-i7-13620h-32gb-1tbssd-14-fhd-w11p-dizustu-bilgisayar-cnt0-p-927372509?boutiqueId=61&merchantId=153128
"TUF Gaming A15 FA506NFR-HN032-Gaming AMD R7-7435HS 8GB 512GB SSD RTX2050 70W Freedos 15.6"" FHD 144Hz",ASUS,AMD Ryzen 7,7435HS,7. Nesil,8,3.3,4.7,8 GB,DDR5,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,Full HD,Nvidia GeForce RTX 2050,Harici,4 GB ve altı,GDDR6,70W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:18:10,31.999 TL,https://www.trendyol.com/asus/tuf-gaming-a15-fa506nfr-hn032-gaming-amd-r7-7435hs-8gb-512gb-ssd-rtx2050-70w-freedos-15-6-fhd-144hz-p-921324117?boutiqueId=61&merchantId=161002
"Slayer R9T-5070Ti C2 AMD Ryzen 9 9955HX 64GB RAM 2TB SSD RTX5070Ti 16"" QHD IPS 300Hz Free",Game Garaj,AMD Ryzen 9,9955HX,9. Nesil,16,2.5,+5,64 GB,DDR5,64 GB,2 TB,HDD Yok,16 inç,2560 x 1600,QHD+,300 Hz,IPS,Nvidia GeForce RTX 5070 Ti,Harici,12 GB,GDDR7,140W,2 - 4 kg,Oyun,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:18:11,104.999 TL,https://www.trendyol.com/game-garaj/slayer-r9t-5070ti-c2-amd-ryzen-9-9955hx-64gb-ram-2tb-ssd-rtx5070ti-16-qhd-ips-300hz-free-p-945612646?boutiqueId=61&merchantId=124551
Aorus 15 Bkf İ7-13620H 16gb Ddr5 1tb Ssd Rtx4060-8gb 140w 15.6'' Qhd 165hz Freedos,Gigabyte,Intel Core i7,13620H,13. Nesil,10,1.8,4.9,16 GB,DDR5,64 GB,1 TB,HDD Yok,"15,6 inç",2560 x 1440,QHD,165 Hz,VA,Nvidia GeForce RTX 4060,Harici,8 GB,GDDR6,140W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:18:12,53.999 TL,https://www.trendyol.com/gigabyte/aorus-15-bkf-i7-13620h-16gb-ddr5-1tb-ssd-rtx4060-8gb-140w-15-6-qhd-165hz-freedos-p-883829823?boutiqueId=61&merchantId=106198
"Nitro 5 AN515-58-73BD Intel Core i7 12650H 16GB 512GB SSD RTX4050 Freedos 15.6""FHD NH.QLZEY.008",ACER,Intel Core i7,12650H,12. Nesil,10,2.3,4.7,16 GB,DDR5,8 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,VA,Nvidia GeForce RTX 4050,Dahili,6 GB,GDDR6,,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:18:14,59.999 TL,https://www.trendyol.com/acer/nitro-5-an515-58-73bd-intel-core-i7-12650h-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-nh-qlzey-008-p-770280916?boutiqueId=61&merchantId=200228
Vivobook 15 X1504VA-NJ2273W I5-1334U 8GB RAM 512GB SSD 15.6″ W11 Gri,ASUS,Intel Core i5,i5-1334U,13. Nesil,10,1.4,4.2,8 GB,DDR4,8 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Windows,Gri,2025-12-02 06:18:15,23.999 TL,https://www.trendyol.com/asus/vivobook-15-x1504va-nj2273w-i5-1334u-8gb-ram-512gb-ssd-15-6-w11-gri-p-943871431?boutiqueId=61&merchantId=121474
"255 G10 9G1F9ET Ryzen 7 7730U 16Gb Ram 1Tb Ssd 15.6"" FullHD FreeDos Dizüstü Bilgisayar",HP,AMD Ryzen 7,7730U,Belirtilmemiş,8,2,4.5,16 GB,DDR4,64 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,IPS,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:18:16,22.999 TL,https://www.trendyol.com/hp/255-g10-9g1f9et-ryzen-7-7730u-16gb-ram-1tb-ssd-15-6-fullhd-freedos-dizustu-bilgisayar-p-900148602?boutiqueId=61&merchantId=299342
"V15 83A10096TR i5-13420H 8GB 512GB 15.6"" FHD FreeDOS Notebook",LENOVO,Intel Core M,1000M,13. Nesil,10,3.4,4.6,8 GB,DDR4,16 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,FHD+,60 Hz,TN,Intel Iris Pro Graphics,Dahili,Paylaşımlı,GDDR5X,,2 - 4 kg,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:18:18,20.299 TL,https://www.trendyol.com/lenovo/v15-83a10096tr-i5-13420h-8gb-512gb-15-6-fhd-freedos-notebook-p-824074205?boutiqueId=61&merchantId=108574
"IdeaPad Slim 3 AMD Ryzen 5-5625U 16GB 1TB SSD W11 15.6"" FHD Dizüstü Bilgisayar +Lenovo Set",LENOVO,AMD Ryzen 5,5625U,Belirtilmemiş,6,3,4.3,16 GB,DDR4,16 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),Belirtilmemiş,TN,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:18:19,25.500 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-amd-ryzen-5-5625u-16gb-1tb-ssd-w11-15-6-fhd-dizustu-bilgisayar-lenovo-set-p-1020562617?boutiqueId=61&merchantId=557390
Nirvana Intel Core i5 1335U 16 GB RAM 1TB NVMe SSD Freedos-Mavi Z100.1335-BF00X-M-Q,CASPER,Intel Core i5,1335U,13. Nesil,10,1.3,4.6,16 GB,LPDDR5,16 GB,1 TB,HDD Yok,14 inç,2560 x 1600,QHD,60 Hz,IPS,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Mavi,2025-12-02 06:18:20,31.299 TL,https://www.trendyol.com/casper/nirvana-intel-core-i5-1335u-16-gb-ram-1tb-nvme-ssd-freedos-mavi-z100-1335-bf00x-m-q-p-806442983?boutiqueId=61&merchantId=114258
LOQ 15IAX9 GTI24 Intel Core I5 12450HX 24GB 1TB SSD RTX4050 Freedos 15.6'' FHD 83GS00Q6TR,LENOVO,Intel Core i5,Belirtilmemiş,12. Nesil,8,3.1,4.4,24 GB,DDR5,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,,2 - 4 kg,Oyun,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:18:21,49.999 TL,https://www.trendyol.com/lenovo/loq-15iax9-gti24-intel-core-i5-12450hx-24gb-1tb-ssd-rtx4050-freedos-15-6-fhd-83gs00q6tr-p-992249310?boutiqueId=61&merchantId=641216
"Ideapad Slim 3 83K2001VTR015 i7-13620H 16GB 1TBSSD 16"" WUXGA W11P Dizüstü Bilgisayar",LENOVO,Intel Core i7,13620H,13. Nesil,10,1.8,4.9,16 GB,DDR5,40 GB,1 TB,HDD Yok,16 inç,1920 x 1200,WUXGA,60 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Ofis - İş,4-6 Saat,Windows,Gri,2025-12-02 06:18:23,33.799 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-83k2001vtr015-i7-13620h-16gb-1tbssd-16-wuxga-w11p-dizustu-bilgisayar-p-929681023?boutiqueId=61&merchantId=1007811
Ideapad 1 İntel Core i3-1215U 16GB 1TB SSD W11P 15.6'' Full Hd ARENA Çanta Hediyeli,LENOVO,Intel Core i3,1215U,12. Nesil,4,1.7,4.4,16 GB,DDR4,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Free Dos (İşletim Sistemi Yok),Metalik Gri; Gri,2025-12-02 06:18:24,22.499 TL,https://www.trendyol.com/lenovo/ideapad-1-intel-core-i3-1215u-16gb-1tb-ssd-w11p-15-6-full-hd-arena-canta-hediyeli-p-884236393?boutiqueId=61&merchantId=557390
"Aspire Lite AL16-51P-580H Intel Core i5 1235U 8GB 512GB SSD Freedos 16"" FHD NX.KWZEY.001",ACER,Intel Core i5,1235U,12. Nesil,12+,3.3,4.4,8 GB,DDR5,16 GB,512 GB,HDD Yok,16 inç,1920 x 1200,Full HD (FHD),60 Hz,IPS,Intel Iris Graphics,Dahili,Paylaşımlı,GDDR6,,2 kg ve altı,Ev - Okul,4-6 Saat,Free Dos (İşletim Sistemi Yok),Koyu Gri; Siyah,2025-12-02 06:18:26,"19.998,88 TL",https://www.trendyol.com/acer/aspire-lite-al16-51p-580h-intel-core-i5-1235u-8gb-512gb-ssd-freedos-16-fhd-nx-kwzey-001-p-885903094?boutiqueId=61&merchantId=204934
"Ideapad Slim 3 AMD Ryzen 7 5825U 16GB 1tB SSD Windows 11 15.6"" FHD Taşınabilir Bilgisayar",LENOVO,AMD Ryzen 7,5825U,5. Nesil,8,1.8,4.3,16 GB,DDR4,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ev - Okul,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:18:27,29.999 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-amd-ryzen-7-5825u-16gb-1tb-ssd-windows-11-15-6-fhd-tasinabilir-bilgisayar-p-838245722?boutiqueId=61&merchantId=557390
IDEAPAD Slim 3 intel i7 13620H 16GB 512GB Freedos 14 Inç OLED Ekran 83K00018TR,LENOVO,Intel Core i7,13620H,13. Nesil,10,2.4,4.9,16 GB,DDR5,,512 GB,Belirtilmemiş,14 inç,1920 x 1200,WUXGA,60 Hz,OLED,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),COSMOS BLUE,2025-12-02 06:18:28,38.999 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-i7-13620h-16gb-512gb-freedos-14-inc-oled-ekran-83k00018tr-p-991383281?boutiqueId=61&merchantId=1109500
"Nirvana S100 300NIT i5-13420H 32GB DDR5 2TB SSD 16"" Freedos Laptop S100.1342-DX00X-G-F",CASPER,Intel Core i5,13420H,13. Nesil,8,2.1,4.6,32 GB,DDR5,32 GB,2 TB,HDD Yok,16 inç,1920 x 1200,Full HD (FHD),60 Hz,IPS,Intel Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Titanyum Grisi; Gri,2025-12-02 06:18:29,35.699 TL,https://www.trendyol.com/casper/nirvana-s100-300nit-i5-13420h-32gb-ddr5-2tb-ssd-16-freedos-laptop-s100-1342-dx00x-g-f-p-898617472?boutiqueId=61&merchantId=114258
Aspire 5 13.Nesil Core i5 1335U-RTX2050 4GB-8Gb-512Gb Ssd-14inc-W11,ACER,Intel Core i5,1335U,13. Nesil,10,,,8 GB,DDR4,,512 GB,512 GB,14 inç,1920 x 1200,Full HD (FHD),Belirtilmemiş,TN,Nvidia GeForce RTX 2050,Harici,Paylaşımlı,GDDR6,,2 kg ve altı,Ofis - İş,,Windows,SIYAH; Gümüş,2025-12-02 06:18:31,28.999 TL,https://www.trendyol.com/acer/aspire-5-13-nesil-core-i5-1335u-rtx2050-4gb-8gb-512gb-ssd-14inc-w11-p-866676501?boutiqueId=61&merchantId=857450
"LOQ 83LK002VTR011 i7-12650HX 32GB 1TBSSD RTX4050 15.6"" FHD W11P Dizüstü Bilgisayar-CNT012",LENOVO,Intel Core i7,Belirtilmemiş,12. Nesil,14,1.5,4.7,32 GB,DDR5,32 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,,2 - 4 kg,Oyun,4-6 Saat,Windows,Gri,2025-12-02 06:18:32,57.499 TL,https://www.trendyol.com/lenovo/loq-83lk002vtr011-i7-12650hx-32gb-1tbssd-rtx4050-15-6-fhd-w11p-dizustu-bilgisayar-cnt012-p-930998931?boutiqueId=61&merchantId=121474
"Ideapad Slim 3 15IRH10 83K10062TR Intel Core I5-13420H 8gb Ddr5 256GB SSD Wuxga 15.3"" IPS 300Nits Fr",LENOVO,Intel Core i5,13420H,13. Nesil,6,2,,8 GB,DDR5,,256 GB,HDD Yok,"15,6 inç",1920 x 1080,WUXGA,60 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,SD,,2 kg ve altı,Ev - Okul,4-6 Saat,Free Dos (İşletim Sistemi Yok),Renkli; Lacivert,2025-12-02 06:18:33,23.499 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-15irh10-83k10062tr-intel-core-i5-13420h-8gb-ddr5-256gb-ssd-wuxga-15-3-ips-300nits-fr-p-906250891?boutiqueId=61&merchantId=125175
"FX608JMR-RV024 i7-14650HX 16GB DDR5 1TB SSD RTX5060 8GB 16"" 165Hz FreeDos",ASUS,Intel Core i7,14650HX,14. Nesil,16,2.2,+5,16 GB,DDR5,64 GB,1 TB,HDD Yok,16 inç,1920 x 1200,FHD+,165 Hz,IPS,Nvidia GeForce RTX 5060,Harici,8 GB,Belirtilmemiş,115W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:18:35,87.799 TL,https://www.trendyol.com/asus/fx608jmr-rv024-i7-14650hx-16gb-ddr5-1tb-ssd-rtx5060-8gb-16-165hz-freedos-p-945622274?boutiqueId=61&merchantId=106664
"Victus 15-FA1073NT Intel Core i7-12650H 16GB 512GB SSD 6GB RTX 4050 144Hz 15.6""Freedos B10MZEA",HP,Intel Core i7,12650H,12. Nesil,10,,4.7,16 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,,2 - 4 kg,Oyun,,Free Dos (İşletim Sistemi Yok),Gri; Siyah,2025-12-02 06:18:36,54.822 TL,https://www.trendyol.com/hp/victus-15-fa1073nt-intel-core-i7-12650h-16gb-512gb-ssd-6gb-rtx-4050-144hz-15-6-freedos-b10mzea-p-881670657?boutiqueId=61&merchantId=106664
"Vostro 3530 i7-1355U 64GB 1TB SSD 15.6"" FHD 120Hz Windows 11 Pro Laptop N1601PVNB3530U 015",Dell,Intel Core i7,1355U,13. Nesil,10,1.7,4.6,64 GB,DDR4,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,VA,Intel UHD Graphics,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Windows,Siyah,2025-12-02 06:18:37,45.490 TL,https://www.trendyol.com/dell/vostro-3530-i7-1355u-64gb-1tb-ssd-15-6-fhd-120hz-windows-11-pro-laptop-n1601pvnb3530u-015-p-812033304?boutiqueId=61&merchantId=114271
"Ideapad Slim 3 Intel Core i5 13420H 24GB 512GB SSD WİNDOWS 11 15.3"" WUXGA IPS Taşınabilir Bilgisayar",LENOVO,Intel Core i5,13420H,13. Nesil,8,3.4,4.6,24 GB,DDR5,40 GB,512 GB,HDD Yok,"15,3 inç",1920 x 1200,WUXGA,60 Hz,IPS,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,4-6 Saat,Windows,GRİ,2025-12-02 06:18:38,29.599 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-core-i5-13420h-24gb-512gb-ssd-windows-11-15-3-wuxga-ips-tasinabilir-bilgisayar-p-954458789?boutiqueId=61&merchantId=917738
"Vostro 3530 N3404PVNB3530U10 i5-1334U 32GB 512SSD 15.6"" FHD W11P Dizüstü Bilgisayar-CNT011",Dell,Intel Core i5,1334u,13. Nesil,10,1.0,4.6,32 GB,DDR4,64 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,IPS,Intel XE Graphics,Dahili,Paylaşımlı,SD,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Windows,Koyu Gri; Siyah,2025-12-02 06:18:39,31.499 TL,https://www.trendyol.com/dell/vostro-3530-n3404pvnb3530u10-i5-1334u-32gb-512ssd-15-6-fhd-w11p-dizustu-bilgisayar-cnt011-p-870546759?boutiqueId=61&merchantId=106664
"TUF GAMING A15 FA507NVR-LP029-K2 AMD RYZEN 7-7435HS 32GB 1TB 8GB RTX4060 15.6"" FHD 144Hz DOS",ASUS,AMD Ryzen 7,7435HS,7. Nesil,8,3.1,4.5,32 GB,DDR5,32 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 4060,Dahili,8 GB,GDDR6,140W,2 - 4 kg,Oyun,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Mecha Gray; Siyah,2025-12-02 06:18:40,85.999 TL,https://www.trendyol.com/asus/tuf-gaming-a15-fa507nvr-lp029-k2-amd-ryzen-7-7435hs-32gb-1tb-8gb-rtx4060-15-6-fhd-144hz-dos-p-862756064?boutiqueId=61&merchantId=1007811
LOQ 15ARP9 R7-7435HS 12G 1TB SSD RTX4070 8G 15.6 FHD FDos Taşınabilir Bilgisayar 83JC00CUTR,LENOVO,AMD Ryzen 7,7435HS,7. Nesil,8,3.1,4.5,12 GB,DDR5,64 GB,1 TB,500 GB,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 4070,Harici,8 GB,GDDR6,,2 - 4 kg,Oyun,4-6 Saat,Linux,Gri,2025-12-02 06:18:41,60.399 TL,https://www.trendyol.com/lenovo/loq-15arp9-r7-7435hs-12g-1tb-ssd-rtx4070-8g-15-6-fhd-fdos-tasinabilir-bilgisayar-83jc00cutr-p-878151324?boutiqueId=61&merchantId=1109500
LOQ 15IAX9 GTI32 Intel Core I5 12450HX 32GB 1TB SSD RTX4050 Freedos 15.6'' FHD 83GS00Q6TR,LENOVO,Intel Core i5,Belirtilmemiş,12. Nesil,8,3.1,4.4,32 GB,DDR5,,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,IPS,Nvidia GeForce RTX 4050,Harici,6 GB,GDDR6,,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),gri,2025-12-02 06:18:42,54.999 TL,https://www.trendyol.com/lenovo/loq-15iax9-gti32-intel-core-i5-12450hx-32gb-1tb-ssd-rtx4050-freedos-15-6-fhd-83gs00q6tr-p-992292544?boutiqueId=61&merchantId=641216
Vivobook 15 X1502ZA-EJ922 i5-1235U 8GB 256GB SSD 15.6 FHD FreeDOS,ASUS,Intel Core i5,1235U,12. Nesil,10,3.3,4.4,8 GB,DDR4,16 GB,256 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ev - Okul,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:18:44,24.999 TL,https://www.trendyol.com/asus/vivobook-15-x1502za-ej922-i5-1235u-8gb-256gb-ssd-15-6-fhd-freedos-p-738098538?boutiqueId=61&merchantId=868180
Vostro 3520 I5 1235u 8gb 512gb Ssd 15.6 Freedos N1611pvnb3520u,Dell,Intel Core M,1000M,13. Nesil,10,3.3,4.4,8 GB,DDR4,32 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,FHD+,60 Hz,VA,Intel Iris Pro Graphics,Dahili,Paylaşımlı,GDDR5X,,2 - 4 kg,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),Siyah,2025-12-02 06:18:45,"26.398,68 TL",https://www.trendyol.com/dell/vostro-3520-i5-1235u-8gb-512gb-ssd-15-6-freedos-n1611pvnb3520u-p-451405967?boutiqueId=61&merchantId=125175
X1504ZA-NJ634W/ Intel i3-1215U/ 8GB Ram/ 512GB SSD/ 15.6''/ W11 Laptop,ASUS,Intel Core i3,1215U,12. Nesil,6,3.2,1.2,8 GB,DDR4,12 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,LED,Intel UHD Graphics,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Ev - Okul,6 Saat ve Üstü,Windows,Quiet Mavi; Gri,2025-12-02 06:18:47,22.999 TL,https://www.trendyol.com/asus/x1504za-nj634w-intel-i3-1215u-8gb-ram-512gb-ssd-15-6-w11-laptop-p-864907378?boutiqueId=61&merchantId=334898
"Loq Intel Core I5-12450hx 32gb 1tb S Rtx™ 3050 6gb Tgp 95w 15,6"" Gaming Laptop 83gs008gtr-321",LENOVO,Intel Core i5,12450H,12. Nesil,8,Belirtilmemiş,4.4,32 GB,DDR5,32 GB,1 TB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),144 Hz,Full HD,Nvidia GeForce RTX 3050,Harici,6 GB,GDDR6,95W,2 - 4 kg,Oyun,4-6 Saat,Free Dos (İşletim Sistemi Yok),Ay Grisi; Siyah,2025-12-02 06:18:48,49.999 TL,https://www.trendyol.com/lenovo/loq-intel-core-i5-12450hx-32gb-1tb-s-rtx-3050-6gb-tgp-95w-15-6-gaming-laptop-83gs008gtr-321-p-901994472?boutiqueId=61&merchantId=125175
Vivobook 15 X1504VA-NJ1422-03 Intel Core i5-1335U 16GB 512GB SSD 15.6'' Freedos,ASUS,Intel Core i5,1335U,13. Nesil,10,4,4.6,16 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Intel UHD Graphics,Dahili,Paylaşımlı,Belirtilmemiş,,2 kg ve altı,Ofis - İş,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:18:50,29.999 TL,https://www.trendyol.com/asus/vivobook-15-x1504va-nj1422-03-intel-core-i5-1335u-16gb-512gb-ssd-15-6-freedos-p-899977348?boutiqueId=61&merchantId=334898
"Ideapad 1 Amd Ryzen 3 7320u 8gb 256gb Ssd Freedos 15.6"" Hd Taşınabilir Bilgisayar 82vg0088tx",LENOVO,AMD Ryzen 3,7320U,7. Nesil,4,3,,,LPDDR5,,,256 GB,"15,6 inç",1366 x 768,HD Ready (HD),60 Hz,TN,Dahili Ekran Kartı,Dahili,Paylaşımlı,Belirtilmemiş,,2 - 4 kg,Ev - Okul,6 Saat ve Üstü,Free Dos (İşletim Sistemi Yok),Gri,2025-12-02 06:18:51,21.788 TL,https://www.trendyol.com/lenovo/ideapad-1-amd-ryzen-3-7320u-8gb-256gb-ssd-freedos-15-6-hd-tasinabilir-bilgisayar-82vg0088tx-p-682792898?boutiqueId=61&merchantId=137984
"Ideapad 1 I3-1215U 8 GB 256 GB SSD 15.6"" Windows 11 Pro 82QD0072TXAR41",LENOVO,Intel Core i3,1215U,12. Nesil,6,1.2,,8 GB,DDR3,8 GB,256 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,,2 - 4 kg,Ofis - İş,3 Saat ve Altı,Windows,gri; Gri,2025-12-02 06:18:53,21.999 TL,https://www.trendyol.com/lenovo/ideapad-1-i3-1215u-8-gb-256-gb-ssd-15-6-windows-11-pro-82qd0072txar41-p-815730967?boutiqueId=61&merchantId=557390
"V15 G3 i7-1255U 24GB 512GB SSD Freedos 15,6"" FHD Taşınabilir Bilgisayar 82TT0055TX002",LENOVO,Intel Core i7,1255U,12. Nesil,10,3.5,1.7,24 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,TN,Intel XE Graphics,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,3 Saat ve Altı,Free Dos (İşletim Sistemi Yok),SİYAH; Siyah,2025-12-02 06:18:54,30.590 TL,https://www.trendyol.com/lenovo/v15-g3-i7-1255u-24gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82tt0055tx002-p-765633797?boutiqueId=61&merchantId=114271
"IdeaPad 3 15IAU7 Uyumlu  Intel Core i3 1215U 8GB 512GB SSD Windows 11 Home 15.6"" FHD Taşınabilir",LENOVO,Intel Core i3,1215U,12. Nesil,6,3,,8 GB,DDR4,,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),60 Hz,,Dahili Ekran Kartı,Dahili,Paylaşımlı,Dahili,,2 kg ve altı,Ofis - İş,,Windows,Gri,2025-12-02 06:18:55,23.090 TL,https://www.trendyol.com/lenovo/ideapad-3-15iau7-uyumlu-intel-core-i3-1215u-8gb-512gb-ssd-windows-11-home-15-6-fhd-tasinabilir-p-783987964?boutiqueId=61&merchantId=192739
"Vostro 3520 N1611pvnb3520u10 I5-1235u 16gb 512ssd 15.6"" Fullhd W11p Taşınabilir Bilgisayar",Dell,Intel Core i5,1235U,12. Nesil,10,3.2,1.4,16 GB,DDR4,32 GB,512 GB,HDD Yok,"15,6 inç",1920 x 1080,Full HD (FHD),120 Hz,,Intel Iris Graphics,Dahili,Paylaşımlı,SD,,2 kg ve altı,Ofis - İş,,Windows,Koyu Gri; Gri,2025-12-02 06:18:56,"29.038,68 TL",https://www.trendyol.com/dell/vostro-3520-n1611pvnb3520u10-i5-1235u-16gb-512ssd-15-6-fullhd-w11p-tasinabilir-bilgisayar-p-694967462?boutiqueId=61&merchantId=125175
