Name,Price,Link,Timestamp
"LENOVO Ideapad Slim 3 15Ian8 Intel N100 4GB RAM 128Gb SSD Intel UHD Graphics 15.6"" FHD W11 Gri Noteb",9.380 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-15ian8-intel-n100-4gb-ram-128gb-ssd-intel-uhd-graphics-15-6-fhd-w11-gri-noteb-p-880174765?boutiqueId=61&merchantId=1126939,2025-12-03 01:47:23
"LENOVO Ideapad 3 İntel Core i3-1215U 16GB 512GB SSD W11P 15.6"" Full Hd CSR22 ÇANTA Hediyeli",20.949 TL,https://www.trendyol.com/lenovo/ideapad-3-intel-core-i3-1215u-16gb-512gb-ssd-w11p-15-6-full-hd-csr22-canta-hediyeli-p-781482518?boutiqueId=61&merchantId=1080756,2025-12-03 01:47:23
"LENOVO Ideapad 1 15alc7 Amd Ryzen 5 5625U 16gb 512gb Ssd 15.6"" Win11 Taşınabilir Bilgisayar",22.399 TL,https://www.trendyol.com/lenovo/ideapad-1-15alc7-amd-ryzen-5-5625u-16gb-512gb-ssd-15-6-win11-tasinabilir-bilgisayar-p-817478034?boutiqueId=61&merchantId=557390,2025-12-03 01:47:23
"Apple 13"" MacBook Air: Apple M2 chip with 8-core CPU and 8-core GPU, 16GB, 256GB - Gece Yarısı",37.399 TL,https://www.trendyol.com/apple/13-macbook-air-apple-m2-chip-with-8-core-cpu-and-8-core-gpu-16gb-256gb-gece-yarisi-p-871069136?boutiqueId=61&merchantId=787811,2025-12-03 01:47:23
"Apple 13"" MacBook Air: Apple M2 chip with 8-core CPU and 8-core GPU, 16GB, 256GB - Yıldız Işığı",37.499 TL,https://www.trendyol.com/apple/13-macbook-air-apple-m2-chip-with-8-core-cpu-and-8-core-gpu-16gb-256gb-yildiz-isigi-p-871069139?boutiqueId=61&merchantId=113750,2025-12-03 01:47:23
"Apple Macbook Air 13.6"" M2 8c Gpu 8 Gb 256 Gb Ssd Yıldız Işığı",41.350 TL,https://www.trendyol.com/apple/macbook-air-13-6-m2-8c-gpu-8-gb-256-gb-ssd-yildiz-isigi-p-334546082?boutiqueId=61&merchantId=621599,2025-12-03 01:47:23
"LENOVO IdeaPad 1 Intel Celeron N4020 4GB 128GB SSD Windows 11 Home 15.6"" Taşınabilir Bilgisayar 82V700A9TX",10.299 TL,https://www.trendyol.com/lenovo/ideapad-1-intel-celeron-n4020-4gb-128gb-ssd-windows-11-home-15-6-tasinabilir-bilgisayar-82v700a9tx-p-759819201?boutiqueId=61&merchantId=557390,2025-12-03 01:47:26
"LENOVO IdeaPad Slim 3 Intel Celeron N100 4GB 128GB Intel UHD Graphics 15.6"" FHD W11 Notebook 82XB009GTX",8.381 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-intel-celeron-n100-4gb-128gb-intel-uhd-graphics-15-6-fhd-w11-notebook-82xb009gtx-p-941342405?boutiqueId=61&merchantId=1095219,2025-12-03 01:47:26
"ASUS Vivobook 15 Intel Core i5 1235U 16GB 1TB SSD W11P 15.6"" FHD Bilgisayar Csrtech",29.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1235u-16gb-1tb-ssd-w11p-15-6-fhd-bilgisayar-csrtech-p-795953654?boutiqueId=61&merchantId=880551,2025-12-03 01:47:26
"LENOVO LOQ Intel Core i5-12600HX 24G 512GB SSD RTX4050 15.6"" FHD 144Hz 105W FreeDOS Gaming PC 83GS00P6TR",38.479 TL,https://www.trendyol.com/lenovo/loq-intel-core-i5-12600hx-24g-512gb-ssd-rtx4050-15-6-fhd-144hz-105w-freedos-gaming-pc-83gs00p6tr-p-892391469?boutiqueId=61&merchantId=1080831,2025-12-03 01:47:26
"Hometech Alfa 620c Intel Celeron N4020 4 Gb 128 Gb Ssd Windows 11 14.1"" Tn Taşınabilir Bilgisayar",6.499 TL,https://www.trendyol.com/hometech/alfa-620c-intel-celeron-n4020-4-gb-128-gb-ssd-windows-11-14-1-tn-tasinabilir-bilgisayar-p-658259965?boutiqueId=61&merchantId=746625,2025-12-03 01:47:26
"LENOVO AMD Ryzen 5 5625U 16GB 512GB M.2 SSD W11pro 15.6"" Notebook+Çanta",20.999 TL,https://www.trendyol.com/lenovo/amd-ryzen-5-5625u-16gb-512gb-m-2-ssd-w11pro-15-6-notebook-canta-p-838221473?boutiqueId=61&merchantId=441895,2025-12-03 01:47:26
"HP 14-EP0014NT Intel Core i3-N305 8GB 512GB SSD DOS 14"" FHD Gece Mavisi Laptop (HP Türkiye Garantili)",17.999 TL,https://www.trendyol.com/hp/14-ep0014nt-intel-core-i3-n305-8gb-512gb-ssd-dos-14-fhd-gece-mavisi-laptop-hp-turkiye-garantili-p-712241023?boutiqueId=61&merchantId=141868,2025-12-03 01:47:26
LENOVO Ideapad Slim 3 12.Nesil Core i5 12450H-8Gb-512Gb Ssd-W11,23.399 TL,https://www.trendyol.com/lenovo/ideapad-slim-3-12-nesil-core-i5-12450h-8gb-512gb-ssd-w11-p-779234648?boutiqueId=61&merchantId=1007811,2025-12-03 01:47:26
"Apple 13"" MacBook Air: Apple M4 chip with 10-core CPU and 8-core GPU, 16GB, 256GB SSD - Gümüş","45.303,53 TL",https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-8-core-gpu-16gb-256gb-ssd-gumus-p-904728347?boutiqueId=681310&merchantId=968,2025-12-03 01:47:26
"LENOVO Loq Intel Core I5-12450hx 16gb 512gb Ssd Rtx™ 3050 6gb 15,6"" Gaming Laptop 83gs008gtr","35.998,88 TL",https://www.trendyol.com/lenovo/loq-intel-core-i5-12450hx-16gb-512gb-ssd-rtx-3050-6gb-15-6-gaming-laptop-83gs008gtr-p-854905322?boutiqueId=61&merchantId=204934,2025-12-03 01:47:26
Dell Inspiron 15 3520 I5-1235U 32 GB 1 TBSSD 15.6 Inç Fhd 120Hz Windows 11 Pro I352024052009UAR114,34.999 TL,https://www.trendyol.com/dell/inspiron-15-3520-i5-1235u-32-gb-1-tbssd-15-6-inc-fhd-120hz-windows-11-pro-i352024052009uar114-p-817772696?boutiqueId=61&merchantId=153128,2025-12-03 01:47:26
"MONSTER Abra A7 V15.3.4 Intel Core i5 13500H 16 GB RAM 1 TB SSD 6 GB RTX 3050 FreeDOS 17,3"" FHD 144 Hz",42.299 TL,https://www.trendyol.com/monster/abra-a7-v15-3-4-intel-core-i5-13500h-16-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-17-3-fhd-144-hz-p-894064414?boutiqueId=61&merchantId=105286,2025-12-03 01:47:26
"MSI 15.6"" CYBORG 15 A13VE-897XTR CORE i7 13620H-16GB DDR5 RAM-6GB RTX4050-1TB NVME-FDOS",45.499 TL,https://www.trendyol.com/msi/15-6-cyborg-15-a13ve-897xtr-core-i7-13620h-16gb-ddr5-ram-6gb-rtx4050-1tb-nvme-fdos-p-804410204?boutiqueId=61&merchantId=105013,2025-12-03 01:47:26
"ASUS Vivobook 15 Intel® Core™ I5-13420H 24gb Ram 1tb Ssd W11 Pro 15,6"" Fhd",31.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-13420h-24gb-ram-1tb-ssd-w11-pro-15-6-fhd-p-856346804?boutiqueId=61&merchantId=996557,2025-12-03 01:47:26
"Dell Inspiron 3520 Intel Core i5 1235U 16 gb 512 GBSSD Windows 11 Home 15.6"" FHD 120Hz 3520AR17",27.799 TL,https://www.trendyol.com/dell/inspiron-3520-intel-core-i5-1235u-16-gb-512-gbssd-windows-11-home-15-6-fhd-120hz-3520ar17-p-791970559?boutiqueId=61&merchantId=153128,2025-12-03 01:47:26
"LENOVO IdeaPad 3 Intel Core i3-1215U 4GB 256GB SSD DOS 15.6"" Arctic Grey Laptop 82RK00XBTX",19.699 TL,https://www.trendyol.com/lenovo/ideapad-3-intel-core-i3-1215u-4gb-256gb-ssd-dos-15-6-arctic-grey-laptop-82rk00xbtx-p-772120070?boutiqueId=61&merchantId=921289,2025-12-03 01:47:26
"ASUS Vivobook 15 Intel Core i5-1235U 8GB 512GB SSD DOS 15.6"" FHD Gümüş Dizüstü Bilgisayar F1502ZA-EJ1534",24.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1235u-8gb-512gb-ssd-dos-15-6-fhd-gumus-dizustu-bilgisayar-f1502za-ej1534-p-780222579?boutiqueId=61&merchantId=868180,2025-12-03 01:47:26
ASUS Vivobook 15 Intel® Core™ I5-13420H 16gb Ram 512gb Ssd W11,25.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-13420h-16gb-ram-512gb-ssd-w11-p-856346347?boutiqueId=61&merchantId=880551,2025-12-03 01:47:26
"ASUS Vivobook 15 Intel Core i5-1235U 24GB 1TB SSD W11 PRO 15.6"" FHD + Mouse",28.999 TL,https://www.trendyol.com/asus/vivobook-15-intel-core-i5-1235u-24gb-1tb-ssd-w11-pro-15-6-fhd-mouse-p-824111623?boutiqueId=61&merchantId=880551,2025-12-03 01:47:26
Hometech Alfa 470c Gri Intel Celeron N4020 4 Gb 128 Gb Ssd 14.1 Hd Windows 10 Home Dizüstü Bilgisayar,14.999 TL,https://www.trendyol.com/hometech/alfa-470c-gri-intel-celeron-n4020-4-gb-128-gb-ssd-14-1-hd-windows-10-home-dizustu-bilgisayar-p-142493119?boutiqueId=61&merchantId=993339,2025-12-03 01:47:27
LENOVO IdeaPad 3 11. Nesil Core i3 1115g4 8GB 256GB SSD 15. Inc W11 Gümüş,18.999 TL,https://www.trendyol.com/lenovo/ideapad-3-11-nesil-core-i3-1115g4-8gb-256gb-ssd-15-inc-w11-gumus-p-318823753?boutiqueId=61&merchantId=1080756,2025-12-03 01:47:27
"Apple 13"" MacBook Air: Apple M4 chip with 10-core CPU and 8-core GPU, 16GB, 256GB SSD - Yıldız Işığı",45.183 TL,https://www.trendyol.com/apple/13-macbook-air-apple-m4-chip-with-10-core-cpu-and-8-core-gpu-16gb-256gb-ssd-yildiz-isigi-p-904728359?boutiqueId=61&merchantId=141868,2025-12-03 01:47:27
"LENOVO Nb V15 G3 i5-1235U 16GB 512GB SSD 15.6"" FHD Freedos Taşınabilir Bilgisayar 82TT00A6TX003",26.899 TL,https://www.trendyol.com/lenovo/nb-v15-g3-i5-1235u-16gb-512gb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-82tt00a6tx003-p-744745792?boutiqueId=61&merchantId=153128,2025-12-03 01:47:27
"ACER Aspire Lite AL15-32P Intel Celeron-N4500 4GB 128GB SSD 15.6"" FHD Windows 11 Home Dizüstü Bilgisayar",8.999 TL,https://www.trendyol.com/acer/aspire-lite-al15-32p-intel-celeron-n4500-4gb-128gb-ssd-15-6-fhd-windows-11-home-dizustu-bilgisayar-p-921524970?boutiqueId=61&merchantId=106740,2025-12-03 01:47:27
